id,label
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,0
399,1
400,0
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,0
